"날짜","종가","오픈","고가","저가","변동 %"
"2021년 07월 09일","1,357.95","1,358.23","1,361.84","1,355.28","0.01%"
"2021년 07월 08일","1,357.79","1,346.11","1,366.00","1,343.70","0.90%"
"2021년 07월 07일","1,345.71","1,344.30","1,350.71","1,341.93","0.14%"
"2021년 07월 06일","1,343.87","1,341.22","1,347.24","1,339.51","0.23%"
"2021년 07월 05일","1,340.79","1,341.32","1,344.18","1,337.42","-0.01%"
"2021년 07월 02일","1,340.96","1,344.39","1,348.25","1,339.93","-0.22%"
"2021년 07월 01일","1,343.95","1,340.53","1,346.81","1,337.59","0.28%"
"2021년 06월 30일","1,340.18","1,346.49","1,348.17","1,338.18","-0.44%"
"2021년 06월 29일","1,346.06","1,347.90","1,350.14","1,343.17","-0.10%"
"2021년 06월 28일","1,347.46","1,345.47","1,352.03","1,344.34","0.18%"
"2021년 06월 25일","1,344.99","1,350.55","1,351.98","1,344.14","-0.30%"
"2021년 06월 24일","1,349.02","1,354.94","1,358.58","1,348.05","-0.40%"
"2021년 06월 23일","1,354.50","1,353.68","1,359.44","1,350.58","0.09%"
"2021년 06월 22일","1,353.26","1,348.39","1,356.81","1,345.40","0.39%"
"2021년 06월 21일","1,347.95","1,347.31","1,353.64","1,344.81","0.14%"
"2021년 06월 18일","1,346.04","1,350.94","1,352.43","1,344.31","-0.33%"
"2021년 06월 17일","1,350.50","1,358.81","1,359.99","1,347.78","-0.59%"
"2021년 06월 16일","1,358.55","1,355.69","1,366.59","1,349.30","0.23%"
"2021년 06월 15일","1,355.38","1,354.09","1,357.98","1,352.70","0.21%"
"2021년 06월 14일","1,352.60","1,352.15","1,357.91","1,348.83","0.08%"
"2021년 06월 11일","1,351.51","1,354.09","1,356.16","1,349.71","-0.15%"
"2021년 06월 10일","1,353.58","1,360.57","1,363.26","1,353.42","-0.37%"
"2021년 06월 09일","1,358.59","1,360.60","1,362.83","1,355.47","-0.13%"
"2021년 06월 08일","1,360.38","1,354.00","1,362.42","1,352.03","0.49%"
"2021년 06월 07일","1,353.73","1,351.47","1,357.62","1,349.46","0.21%"
"2021년 06월 04일","1,350.94","1,354.04","1,357.42","1,348.91","-0.20%"
"2021년 06월 03일","1,353.60","1,356.77","1,360.36","1,353.09","-0.20%"
"2021년 06월 02일","1,356.32","1,353.88","1,361.30","1,352.02","0.23%"
"2021년 06월 01일","1,353.27","1,354.85","1,358.23","1,350.31","0.04%"
"2021년 05월 31일","1,352.79","1,357.98","1,361.97","1,348.96","-0.31%"
"2021년 05월 28일","1,356.96","1,364.18","1,364.99","1,353.83","-0.51%"
"2021년 05월 27일","1,363.85","1,361.59","1,366.40","1,360.10","0.20%"
"2021년 05월 26일","1,361.15","1,375.27","1,376.59","1,360.19","-1.00%"
"2021년 05월 25일","1,374.89","1,372.43","1,379.52","1,369.93","0.19%"
"2021년 05월 24일","1,372.22","1,373.55","1,377.64","1,371.08","-0.08%"
"2021년 05월 21일","1,373.34","1,379.31","1,380.90","1,369.45","-0.39%"
"2021년 05월 20일","1,378.68","1,376.97","1,381.94","1,375.67","0.13%"
"2021년 05월 19일","1,376.87","1,377.51","1,383.89","1,373.01","-0.02%"
"2021년 05월 18일","1,377.11","1,381.68","1,385.31","1,374.13","-0.30%"
"2021년 05월 17일","1,381.24","1,367.56","1,386.10","1,367.19","1.06%"
"2021년 05월 14일","1,366.71","1,361.28","1,370.38","1,359.28","0.43%"
"2021년 05월 13일","1,360.86","1,367.53","1,370.94","1,360.35","-0.47%"
