time,Open,High,Low,Close
2006-11-03,119.04,119.23,118.91,119.07
2006-11-06,119.1,119.86,119.1,119.62
2006-11-07,119.53,119.77,119.01,119.17
2006-11-08,118.98,119.08,118.68,118.84
2006-11-09,118.79,119.17,118.69,119.06
2006-11-10,119.07,119.27,118.56,118.78
2006-11-13,118.59,119.13,117.94,118.91
2006-11-14,118.84,119.37,118.7,119.12
2006-11-15,119.04,119.83,118.91,119.64
2006-11-16,119.65,119.95,119.06,119.11
2006-11-17,118.86,119.36,118.86,119.27
2006-11-20,119.15,119.19,118.62,118.81
2006-11-21,118.7,119.08,118.7,118.87
2006-11-22,118.77,118.83,118.53,118.77
2006-11-23,118.09,118.55,118.09,118.33
2006-11-24,117.99,118.81,117.99,118.66
2006-11-27,118.11,118.81,117.75,118.66
2006-11-28,118.67,118.92,118.44,118.64
2006-11-29,118.61,118.82,118.24,118.76
2006-11-30,118.8,118.95,118.39,118.64
2006-12-01,118.5,118.67,118.34,118.59
2006-12-04,118.4,118.6,118.22,118.49
2006-12-05,118.46,118.57,117.96,118.15
2006-12-06,117.63,117.87,116.9,117.11
2006-12-07,117.38,117.69,116.55,116.68
2006-12-08,116.76,117.97,116.72,117.61
2006-12-11,117.52,118.59,117.52,118.25
2006-12-12,118.23,118.31,117.72,117.81
2006-12-13,117.62,118.04,117.51,117.91
2006-12-14,118.04,118.23,117.5,117.77
2006-12-15,117.77,118.07,117.67,117.91
2006-12-18,117.83,118.58,117.69,118.55
2006-12-19,118.91,119.22,118.53,119.17
2006-12-20,118.45,118.95,118.21,118.48
2006-12-21,118.38,118.85,118.32,118.66
2006-12-22,118.49,118.87,118.49,118.8
2006-12-25,118.74,118.8,118.64,118.73
2006-12-26,118.81,119.08,118.76,118.9
2006-12-27,118.98,119.19,118.87,119.05
2006-12-28,118.67,119.1,118.67,118.98
2006-12-29,118.94,119.12,118.88,119.12
2007-01-01,118.88,118.98,118.88,118.98
2007-01-02,118.54,118.76,118.28,118.42
2007-01-03,118.3,118.6,118.27,118.49
2007-01-04,119.11,119.45,118.98,119.31
2007-01-05,119.22,119.77,119.06,119.66
2007-01-08,119.58,120.22,119.58,120.07
2007-01-09,120.02,120.31,119.63,120.24
2007-01-10,120.33,120.62,120.03,120.13
2007-01-11,120.35,120.56,120.13,120.47
2007-01-12,120.8,120.94,120.35,120.56
2007-01-15,120.5,120.53,120.07,120.42
2007-01-16,120.27,120.37,120.07,120.09
2007-01-17,120.13,120.54,120.13,120.5
2007-01-18,120.43,120.62,120.31,120.55
2007-01-19,120.82,121.04,120.29,120.41
2007-01-22,120.38,121.03,120.33,120.93
2007-01-23,120.84,121.22,120.79,120.91
2007-01-24,120.73,120.84,120.36,120.44
2007-01-25,120.27,120.62,120.26,120.5
2007-01-26,120.84,121.06,120.68,120.94
2007-01-29,120.97,121.07,120.67,121.07
2007-01-30,120.89,121.32,120.75,121.23
2007-01-31,121.19,121.36,120.99,121.09
2007-02-01,120.61,121.1,120.54,120.78
2007-02-02,120.87,121.01,120.71,120.84
2007-02-05,120.92,121.05,120.47,120.61
2007-02-06,120.42,120.47,120.11,120.27
2007-02-07,120.09,120.53,119.87,120.5
2007-02-08,120.49,120.84,120.44,120.66
2007-02-09,120.57,120.75,120.36,120.59
2007-02-12,120.61,120.91,120.54,120.9
2007-02-13,120.63,121.14,120.63,121.08
2007-02-14,121.03,121.11,120.71,120.95
2007-02-15,120.44,120.78,120.24,120.53
2007-02-16,120.28,121.08,120.26,120.83
2007-02-19,120.76,120.84,120.76,120.83
2007-02-20,120.69,121.17,120.69,121.09
2007-02-21,121.01,121.27,120.76,121.09
2007-02-22,121.2,121.37,121.06,121.15
2007-02-23,121.27,121.34,120.93,121.05
2007-02-26,120.88,121.23,120.8,121.16
2007-02-27,121.12,121.32,120.92,121.29
2007-02-28,121.42,121.74,121.32,121.7
2007-03-01,121.64,121.7,121.5,121.62
2007-03-02,121.66,121.82,121.43,121.76
2007-03-05,122.42,123.01,122.38,122.76
2007-03-06,122.5,122.53,122.19,122.41
2007-03-07,122.21,122.66,122.09,122.57
2007-03-08,122.32,122.65,122.31,122.46
2007-03-09,122.07,122.38,122.01,122.13
2007-03-12,122.1,122.14,121.7,121.84
2007-03-13,121.76,122.23,121.75,121.92
2007-03-14,122.18,122.48,122.15,122.23
2007-03-15,121.92,122.1,121.87,121.97
2007-03-16,121.82,122.19,121.8,122.12
2007-03-19,122.07,122.12,121.73,121.98
2007-03-20,121.81,121.99,121.52,121.7
2007-03-21,121.21,121.36,121.02,121.27
2007-03-22,121.04,121.42,121.0,121.41
2007-03-23,121.24,121.53,121.12,121.23
2007-03-26,121.27,121.55,121.12,121.2
2007-03-27,121.22,121.75,121.22,121.68
2007-03-28,121.74,121.94,121.62,121.69
2007-03-29,121.62,121.82,121.5,121.72
2007-03-30,121.7,121.82,121.58,121.69
2007-04-02,121.56,121.64,121.19,121.27
2007-04-03,121.27,121.32,121.05,121.16
2007-04-04,120.92,121.12,120.92,121.06
2007-04-05,120.96,121.13,120.6,120.75
2007-04-06,120.55,120.72,120.35,120.69
2007-04-09,120.8,120.94,120.58,120.65
2007-04-10,120.55,120.89,120.47,120.75
2007-04-11,120.61,120.88,120.56,120.66
2007-04-12,120.65,120.73,120.46,120.6
2007-04-13,120.55,120.6,120.21,120.35
2007-04-16,120.29,120.68,120.16,120.57
2007-04-17,120.26,120.5,120.02,120.1
2007-04-18,120.06,120.38,119.96,120.21
2007-04-19,120.16,120.44,119.88,120.36
2007-04-20,120.28,120.38,120.06,120.19
2007-04-23,120.02,120.15,119.8,119.95
2007-04-24,119.81,120.08,119.77,120.02
2007-04-25,119.89,120.13,119.83,120.06
2007-04-26,120.05,120.51,120.05,120.22
2007-04-27,120.22,120.52,120.18,120.33
2007-04-30,120.3,120.88,120.3,120.8
2007-05-01,120.75,120.86,120.75,120.81
2007-05-02,120.71,120.89,120.59,120.69
2007-05-03,120.67,120.81,120.22,120.31
2007-05-04,120.21,120.5,120.21,120.38
2007-05-07,120.0,120.17,119.66,119.7
2007-05-08,119.68,120.06,119.68,119.93
2007-05-09,120.13,120.32,119.91,120.04
2007-05-10,120.11,120.31,120.03,120.25
2007-05-11,120.25,120.77,120.25,120.72
2007-05-14,120.59,120.7,120.24,120.33
2007-05-15,120.15,120.47,120.04,120.3
2007-05-16,120.14,120.34,120.08,120.28
2007-05-17,120.41,121.01,120.27,120.99
2007-05-18,121.26,121.87,121.12,121.81
2007-05-21,121.5,121.62,121.27,121.37
2007-05-22,121.27,121.66,121.06,121.54
2007-05-23,121.59,121.81,121.44,121.7
2007-05-24,121.67,121.73,121.61,121.73
2007-05-25,121.78,122.09,121.23,121.3
2007-05-28,121.65,121.77,121.27,121.5
2007-05-29,121.43,121.63,121.18,121.26
2007-05-30,121.43,121.79,121.29,121.76
2007-05-31,121.43,121.5,121.15,121.32
2007-06-01,121.23,121.43,121.03,121.42
2007-06-04,121.4,121.53,121.17,121.33
2007-06-05,121.17,121.38,121.09,121.29
2007-06-06,121.25,121.42,121.24,121.41
2007-06-07,121.52,121.8,121.07,121.19
2007-06-08,121.38,121.66,121.11,121.62
2007-06-11,121.59,121.72,121.18,121.68
2007-06-12,121.45,121.84,121.3,121.62
2007-06-13,121.7,122.25,121.65,122.05
2007-06-14,121.83,121.99,121.73,121.96
2007-06-15,121.8,122.06,121.64,121.75
2007-06-18,121.57,121.8,121.51,121.67
